DateTime,Name,Site,DateTime,Tz,{parameter},qual_code
1970-01-01 00:00:00.000000002,2.88,P,1970-01-01 00:00:00.000000002,P,,
1970-01-01 00:00:00.000000002,2.33,P,1970-01-01 00:00:00.000000002,P,,
1970-01-01 00:00:00.000000001,2.42,P,1970-01-01 00:00:00.000000001,P,,
1970-01-01 00:00:00.000000002,2.49,P,1970-01-01 00:00:00.000000002,P,,
1970-01-01 00:00:00.000000001,2.48,P,1970-01-01 00:00:00.000000001,P,,
1970-01-01 00:00:00.000000001,2.46,P,1970-01-01 00:00:00.000000001,P,,
,,,,,,
1970-01-01 00:00:00.000000001,2.4,P,1970-01-01 00:00:00.000000001,P,,
1970-01-01 00:00:00.000000000,1.95,P,1970-01-01 00:00:00.000000000,P,2070.0,P
1970-01-01 00:00:00.000000001,2.23,P,1970-01-01 00:00:00.000000001,P,1730.0,P
1970-01-01 00:00:00.000000001,2.34,P,1970-01-01 00:00:00.000000001,P,1800.0,P
1970-01-01 00:00:00.000000000,1.85,P,1970-01-01 00:00:00.000000000,P,1820.0,P
1970-01-01 00:00:00.000000001,1.93,P,1970-01-01 00:00:00.000000001,P,1870.0,P
1970-01-01 00:00:00.000000001,1.97,P,1970-01-01 00:00:00.000000001,P,1710.0,P
1970-01-01 00:00:00.000000001,2.06,P,1970-01-01 00:00:00.000000001,P,1650.0,P
1970-01-01 00:00:00.000000001,1.96,P,1970-01-01 00:00:00.000000001,P,1700.0,P
1970-01-01 00:00:00.000000001,1.77,P,1970-01-01 00:00:00.000000001,P,2090.0,P
1970-01-01 00:00:00.000000001,1.93,P,1970-01-01 00:00:00.000000001,P,1900.0,P
1970-01-01 00:00:00.000000001,2.05,P,1970-01-01 00:00:00.000000001,P,1700.0,P
1970-01-01 00:00:00.000000001,2.3,P,1970-01-01 00:00:00.000000001,P,1630.0,P
1970-01-01 00:00:00.000000001,2.39,P,1970-01-01 00:00:00.000000001,P,1570.0,P
1970-01-01 00:00:00.000000001,2.23,P,1970-01-01 00:00:00.000000001,P,1490.0,P
1970-01-01 00:00:00.000000001,2.16,P,1970-01-01 00:00:00.000000001,P,1450.0,P
1970-01-01 00:00:00.000000001,1.93,P,1970-01-01 00:00:00.000000001,P,1630.0,P
1970-01-01 00:00:00.000000001,1.91,P,1970-01-01 00:00:00.000000001,P,1710.0,P
1970-01-01 00:00:00.000000001,1.88,P,1970-01-01 00:00:00.000000001,P,1560.0,P
1970-01-01 00:00:00.000000001,2.39,P,1970-01-01 00:00:00.000000001,P,1550.0,P
1970-01-01 00:00:00.000000001,2.79,P,1970-01-01 00:00:00.000000001,P,1670.0,P
1970-01-01 00:00:00.000000001,2.87,P,1970-01-01 00:00:00.000000001,P,1960.0,P
1970-01-01 00:00:00.000000002,3.24,P,1970-01-01 00:00:00.000000002,P,1820.0,P
1970-01-01 00:00:00.000000002,2.83,P,1970-01-01 00:00:00.000000002,P,1380.0,P
1970-01-01 00:00:00.000000002,3.29,P,1970-01-01 00:00:00.000000002,P,1370.0,P
1970-01-01 00:00:00.000000002,3.22,P,1970-01-01 00:00:00.000000002,P,1720.0,P
1970-01-01 00:00:00.000000001,3.38,P,1970-01-01 00:00:00.000000001,P,1710.0,P
1970-01-01 00:00:00.000000001,2.78,P,1970-01-01 00:00:00.000000001,P,1390.0,P
1970-01-01 00:00:00.000000001,2.15,P,1970-01-01 00:00:00.000000001,P,1240.0,P
1970-01-01 00:00:00.000000001,2.34,P,1970-01-01 00:00:00.000000001,P,1290.0,P
1970-01-01 00:00:00.000000001,2.48,P,1970-01-01 00:00:00.000000001,P,1310.0,P
1970-01-01 00:00:00.000000001,2.56,P,1970-01-01 00:00:00.000000001,P,1300.0,P
1970-01-01 00:00:00.000000001,2.51,P,1970-01-01 00:00:00.000000001,P,1300.0,P
1970-01-01 00:00:00.000000001,1.95,P,1970-01-01 00:00:00.000000001,P,1430.0,P
1970-01-01 00:00:00.000000001,2.51,P,1970-01-01 00:00:00.000000001,P,1490.0,P
1970-01-01 00:00:00.000000001,2.2,P,1970-01-01 00:00:00.000000001,P,1520.0,P
1970-01-01 00:00:00.000000001,2.21,P,1970-01-01 00:00:00.000000001,P,1480.0,P
1970-01-01 00:00:00.000000001,2.72,P,1970-01-01 00:00:00.000000001,P,1590.0,P
1970-01-01 00:00:00.000000001,2.75,P,1970-01-01 00:00:00.000000001,P,1680.0,P
1970-01-01 00:00:00.000000001,2.71,P,1970-01-01 00:00:00.000000001,P,1520.0,P
1970-01-01 00:00:00.000000001,2.38,P,1970-01-01 00:00:00.000000001,P,1410.0,P
1970-01-01 00:00:00.000000000,2.14,P,1970-01-01 00:00:00.000000000,P,1400.0,P
1970-01-01 00:00:00.000000000,1.58,P,1970-01-01 00:00:00.000000000,P,1300.0,P
1970-01-01 00:00:00.000000000,1.9,P,1970-01-01 00:00:00.000000000,P,1230.0,P
1970-01-01 00:00:00.000000000,2.18,P,1970-01-01 00:00:00.000000000,P,1270.0,P
1970-01-01 00:00:00.000000000,0.73,P,1970-01-01 00:00:00.000000000,P,1180.0,P
1970-01-01 00:00:00.000000000,1.01,P,1970-01-01 00:00:00.000000000,P,1130.0,P
1970-01-01 00:00:00.000000000,1.3,P,1970-01-01 00:00:00.000000000,P,918.0,P
1970-01-01 00:00:00.000000000,1.36,P,1970-01-01 00:00:00.000000000,P,866.0,P
1970-01-01 00:00:00.000000000,1.61,P,1970-01-01 00:00:00.000000000,P,1100.0,P
1970-01-01 00:00:00.000000000,1.51,P,1970-01-01 00:00:00.000000000,P,1220.0,P
1970-01-01 00:00:00.000000000,1.7,P,1970-01-01 00:00:00.000000000,P,1040.0,P
1970-01-01 00:00:00.000000000,1.89,P,1970-01-01 00:00:00.000000000,P,989.0,P
1970-01-01 00:00:00.000000000,2.0,P,1970-01-01 00:00:00.000000000,P,1060.0,P
1970-01-01 00:00:00.000000000,2.24,P,1970-01-01 00:00:00.000000000,P,1470.0,P
1970-01-01 00:00:00.000000000,1.82,P,1970-01-01 00:00:00.000000000,P,1120.0,P
1970-01-01 00:00:00.000000000,1.52,P,1970-01-01 00:00:00.000000000,P,662.0,P
1970-01-01 00:00:00.000000000,1.22,P,1970-01-01 00:00:00.000000000,P,875.0,P
1970-01-01 00:00:00.000000000,1.38,P,1970-01-01 00:00:00.000000000,P,1050.0,P
1970-01-01 00:00:00.000000000,1.74,P,1970-01-01 00:00:00.000000000,P,,
1970-01-01 00:00:00.000000000,2.1,P,1970-01-01 00:00:00.000000000,P,,
1970-01-01 00:00:00.000000001,1.9,P,1970-01-01 00:00:00.000000001,P,,
1970-01-01 00:00:00.000000001,2.05,P,1970-01-01 00:00:00.000000001,P,,
1970-01-01 00:00:00.000000001,1.98,P,1970-01-01 00:00:00.000000001,P,,
1970-01-01 00:00:00.000000000,1.89,P,1970-01-01 00:00:00.000000000,P,,
,,,,,,
1970-01-01 00:00:00.000000000,2.19,P,1970-01-01 00:00:00.000000000,P,,
1970-01-01 00:00:00.000000000,1.45,P,1970-01-01 00:00:00.000000000,P,1270.0,P
1970-01-01 00:00:00.000000000,1.97,P,1970-01-01 00:00:00.000000000,P,1080.0,P
1970-01-01 00:00:00.000000000,2.12,P,1970-01-01 00:00:00.000000000,P,1290.0,P
1970-01-01 00:00:00.000000000,1.82,P,1970-01-01 00:00:00.000000000,P,1460.0,P
1970-01-01 00:00:00.000000000,1.66,P,1970-01-01 00:00:00.000000000,P,1540.0,P
1970-01-01 00:00:00.000000000,1.91,P,1970-01-01 00:00:00.000000000,P,1510.0,P
1970-01-01 00:00:00.000000000,1.93,P,1970-01-01 00:00:00.000000000,P,1680.0,P
1970-01-01 00:00:00.000000000,1.42,P,1970-01-01 00:00:00.000000000,P,1630.0,P
1970-01-01 00:00:00.000000000,1.44,P,1970-01-01 00:00:00.000000000,P,1480.0,P
1970-01-01 00:00:00.000000001,1.56,P,1970-01-01 00:00:00.000000001,P,1550.0,P
1970-01-01 00:00:00.000000001,1.74,P,1970-01-01 00:00:00.000000001,P,1480.0,P
1970-01-01 00:00:00.000000000,1.6,P,1970-01-01 00:00:00.000000000,P,1320.0,P
1970-01-01 00:00:00.000000000,1.54,P,1970-01-01 00:00:00.000000000,P,1360.0,P
1970-01-01 00:00:00.000000000,1.54,P,1970-01-01 00:00:00.000000000,P,1470.0,P
1970-01-01 00:00:00.000000000,1.8,P,1970-01-01 00:00:00.000000000,P,1480.0,P
1970-01-01 00:00:00.000000000,2.05,P,1970-01-01 00:00:00.000000000,P,1550.0,P
1970-01-01 00:00:00.000000000,2.13,P,1970-01-01 00:00:00.000000000,P,1990.0,P
1970-01-01 00:00:00.000000000,1.26,P,1970-01-01 00:00:00.000000000,P,1600.0,P
1970-01-01 00:00:00.000000000,1.44,P,1970-01-01 00:00:00.000000000,P,1390.0,P
1970-01-01 00:00:00.000000000,1.64,P,1970-01-01 00:00:00.000000000,P,1470.0,P
1970-01-01 00:00:00.000000000,1.7,P,1970-01-01 00:00:00.000000000,P,1650.0,P
1970-01-01 00:00:00.000000000,1.04,P,1970-01-01 00:00:00.000000000,P,1680.0,P
1970-01-01 00:00:00.000000000,0.73,P,1970-01-01 00:00:00.000000000,P,1630.0,P
1970-01-01 00:00:00.000000000,0.48,P,1970-01-01 00:00:00.000000000,P,1570.0,P
1970-01-01 00:00:00.000000000,0.73,P,1970-01-01 00:00:00.000000000,P,1400.0,P
1970-01-01 00:00:00.000000000,0.88,P,1970-01-01 00:00:00.000000000,P,1430.0,P
1970-01-01 00:00:00.000000000,1.22,P,1970-01-01 00:00:00.000000000,P,1400.0,P
1970-01-01 00:00:00.000000000,2.36,P,1970-01-01 00:00:00.000000000,P,1310.0,P
1970-01-01 00:00:00.000000000,2.36,P,1970-01-01 00:00:00.000000000,P,1310.0,P
1970-01-01 00:00:00.000000000,1.46,P,1970-01-01 00:00:00.000000000,P,1530.0,P
1970-01-01 00:00:00.000000000,1.51,P,1970-01-01 00:00:00.000000000,P,1590.0,P
1970-01-01 00:00:00.000000000,1.68,P,1970-01-01 00:00:00.000000000,P,1580.0,P
1970-01-01 00:00:00.000000000,1.16,P,1970-01-01 00:00:00.000000000,P,1750.0,P
1970-01-01 00:00:00.000000000,1.43,P,1970-01-01 00:00:00.000000000,P,2090.0,P
1970-01-01 00:00:00.000000000,1.29,P,1970-01-01 00:00:00.000000000,P,2520.0,P
1970-01-01 00:00:00.000000000,0.86,P,1970-01-01 00:00:00.000000000,P,2550.0,P
1970-01-01 00:00:00.000000000,1.06,P,1970-01-01 00:00:00.000000000,P,1940.0,P
1970-01-01 00:00:00.000000000,1.42,P,1970-01-01 00:00:00.000000000,P,1570.0,P
1970-01-01 00:00:00.000000000,1.26,P,1970-01-01 00:00:00.000000000,P,1540.0,P
1970-01-01 00:00:00.000000000,0.94,P,1970-01-01 00:00:00.000000000,P,1700.0,P
1970-01-01 00:00:00.000000000,1.37,P,1970-01-01 00:00:00.000000000,P,1740.0,P
1970-01-01 00:00:00.000000000,1.41,P,1970-01-01 00:00:00.000000000,P,1800.0,P
1970-01-01 00:00:00.000000000,1.26,P,1970-01-01 00:00:00.000000000,P,1900.0,P
1970-01-01 00:00:00.000000000,0.92,P,1970-01-01 00:00:00.000000000,P,1840.0,P
1970-01-01 00:00:00.000000000,0.96,P,1970-01-01 00:00:00.000000000,P,1700.0,P
1970-01-01 00:00:00.000000000,0.95,P,1970-01-01 00:00:00.000000000,P,1600.0,P
1970-01-01 00:00:00.000000000,0.81,P,1970-01-01 00:00:00.000000000,P,1710.0,P
1970-01-01 00:00:00.000000000,0.67,P,1970-01-01 00:00:00.000000000,P,1810.0,P
1970-01-01 00:00:00.000000000,0.72,P,1970-01-01 00:00:00.000000000,P,1770.0,P
1970-01-01 00:00:00.000000000,1.34,P,1970-01-01 00:00:00.000000000,P,1640.0,P
1970-01-01 00:00:00.000000000,1.67,P,1970-01-01 00:00:00.000000000,P,1530.0,P
1970-01-01 00:00:00.000000000,0.73,P,1970-01-01 00:00:00.000000000,P,1350.0,P
1970-01-01 00:00:00.000000000,1.54,P,1970-01-01 00:00:00.000000000,P,1250.0,P
1970-01-01 00:00:00.000000000,1.8,P,1970-01-01 00:00:00.000000000,P,1180.0,P
1970-01-01 00:00:00.000000000,1.47,P,1970-01-01 00:00:00.000000000,P,1400.0,P
1970-01-01 00:00:00.000000000,0.36,P,1970-01-01 00:00:00.000000000,P,1320.0,P
1970-01-01 00:00:00.000000000,0.7,P,1970-01-01 00:00:00.000000000,P,1460.0,P
1970-01-01 00:00:00.000000000,0.86,P,1970-01-01 00:00:00.000000000,P,1610.0,P
1970-01-01 00:00:00.000000000,0.88,P,1970-01-01 00:00:00.000000000,P,1820.0,P
1970-01-01 00:00:00.000000000,0.43,P,1970-01-01 00:00:00.000000000,P,1530.0,P
1970-01-01 00:00:00.000000000,0.58,P,1970-01-01 00:00:00.000000000,P,1410.0,P
1970-01-01 00:00:00.000000000,1.17,P,1970-01-01 00:00:00.000000000,P,1600.0,P
1970-01-01 00:00:00.000000000,1.18,P,1970-01-01 00:00:00.000000000,P,1860.0,P
1970-01-01 00:00:00.000000000,1.19,P,1970-01-01 00:00:00.000000000,P,1890.0,P
1970-01-01 00:00:00.000000000,1.15,P,1970-01-01 00:00:00.000000000,P,1520.0,P
1970-01-01 00:00:00.000000000,0.82,P,1970-01-01 00:00:00.000000000,P,905.0,P
1970-01-01 00:00:00.000000000,0.92,P,1970-01-01 00:00:00.000000000,P,579.0,P
1970-01-01 00:00:00.000000000,1.02,P,1970-01-01 00:00:00.000000000,P,723.0,P
1970-01-01 00:00:00.000000000,1.37,P,1970-01-01 00:00:00.000000000,P,1130.0,P
1970-01-01 00:00:00.000000000,1.45,P,1970-01-01 00:00:00.000000000,P,1580.0,P
1970-01-01 00:00:00.000000000,1.4,P,1970-01-01 00:00:00.000000000,P,1580.0,P
1970-01-01 00:00:00.000000000,1.07,P,1970-01-01 00:00:00.000000000,P,1360.0,P
1970-01-01 00:00:00.000000000,1.21,P,1970-01-01 00:00:00.000000000,P,1380.0,P
1970-01-01 00:00:00.000000000,1.37,P,1970-01-01 00:00:00.000000000,P,1560.0,P
1970-01-01 00:00:00.000000000,1.45,P,1970-01-01 00:00:00.000000000,P,1450.0,P
1970-01-01 00:00:00.000000000,0.92,P,1970-01-01 00:00:00.000000000,P,1120.0,P
1970-01-01 00:00:00.000000000,1.76,P,1970-01-01 00:00:00.000000000,P,1090.0,P
1970-01-01 00:00:00.000000000,1.84,P,1970-01-01 00:00:00.000000000,P,1430.0,P
1970-01-01 00:00:00.000000000,1.2,P,1970-01-01 00:00:00.000000000,P,1450.0,P
1970-01-01 00:00:00.000000000,1.45,P,1970-01-01 00:00:00.000000000,P,1580.0,P
